Dress_type,Brand,Actual_price,Disc_price,Image
womens regular kurta with pant,GoSriKi,3999,569,https://m.media-amazon.com/images/I/61sBAZZrYpS._AC_UL320_.jpg
womens ruby cotton printed straight kurta with palazzos  dupatta,GoSriKi,3999,699,https://m.media-amazon.com/images/I/51TQ5JLU7JS._AC_UL320_.jpg
womens crepe straight kurta pack of 2,GoSriKi,3999,379,https://m.media-amazon.com/images/I/713qPWv8X+L._AC_UL320_.jpg
vaibhav industries womens handloom cotton aline kurta vi0715xxl,Generic,1099,380,https://m.media-amazon.com/images/I/71-i0TRRizL._AC_UL320_.jpg
womens anarkali regular rayon kurta with dupatta,GoSriKi,2599,569,https://m.media-amazon.com/images/I/61Ov56SdKVS._AC_UL320_.jpg
womens multicolor printed straight kurta pack of 02,GoSriKi,3999,379,https://m.media-amazon.com/images/I/61VyRze7LTL._AC_UL320_.jpg
womens aline crepe kurta,Janasya,1699,529,https://m.media-amazon.com/images/I/71WTxTRa1NL._AC_UL320_.jpg
womens white colour cotton printed kurti with pant and dupatta set,Jaipuri Fashionista,2549,799,https://m.media-amazon.com/images/I/61uPb41kNlL._AC_UL320_.jpg
womens pure cotton flower print kurta with palazzo,GoSriKi,3999,569,https://m.media-amazon.com/images/I/618iblH-bIS._AC_UL320_.jpg
womens cotton straightkurta and palazzos  dupatta,GoSriKi,3599,659,https://m.media-amazon.com/images/I/61g58-cu8AS._AC_UL320_.jpg
womens cotton printed anarkali embroidery kurtired  orange,rytras,2999,899,https://m.media-amazon.com/images/I/71+-e+-yUjL._AC_UL320_.jpg
designer slub rayon fully stitched anarkali kurti for women  girls on jeans palazzo or skirt plus size upto 2xl,OM SAI LATEST CREATION,1999,449,https://m.media-amazon.com/images/I/61Ree+7fLOL._AC_UL320_.jpg
womens regular kurti,Amazon Brand - Myx,599,249,https://m.media-amazon.com/images/I/91H7O7nltmL._AC_UL320_.jpg
