0,1,2,3,4,5,6,7,8,9,10
0,8,30,25,84,57,29,46,72,1,116
1,9,25,29,46,20,72,75,14,30,66
2,5,84,0,8,207,30,57,25,29,46
3,47,49,31,36,56,65,67,45,6,7
4,13,11,21,24,22,42,23,32,14,33
5,2,84,8,0,207,30,57,25,29,46
6,7,10,27,38,45,67,37,16,17,18
7,6,10,38,45,67,27,37,83,87,16
8,0,30,25,84,57,29,46,72,1,116
9,1,20,75,14,29,25,46,66,72,55
10,38,27,7,6,39,87,37,45,16,17
11,21,23,4,13,32,42,22,33,24,119
12,40,41,70,58,60,48,96,109,91,69
13,4,24,11,42,22,21,23,32,14,73
14,20,24,75,66,22,13,9,55,73,42
15,28,50,26,110,139,48,79,99,114,149
16,17,19,18,27,37,35,59,6,38,87
17,16,18,19,27,37,35,59,6,38,87
18,17,19,16,37,27,35,59,6,38,87
19,18,17,16,37,27,35,59,38,87,6
20,14,75,9,66,24,55,22,73,1,92
21,11,32,23,33,42,4,13,119,22,24
22,24,42,13,14,4,73,66,11,55,21
23,32,21,11,33,4,119,13,42,111,22
24,22,13,14,42,4,66,20,73,75,11
25,29,46,1,72,30,9,57,8,116,0
26,28,48,15,99,50,110,88,91,40,114
27,38,10,87,37,6,17,16,59,19,18
28,15,26,50,110,139,48,79,114,99,149
29,46,25,72,1,30,57,9,116,117,8
30,8,0,25,57,29,46,72,84,1,116
31,36,47,49,56,65,3,188,82,144,70
32,23,21,33,11,119,42,4,13,111,80
33,32,23,21,119,11,111,85,43,100,53
34,36,82,65,69,144,76,128,143,56,188
35,44,19,59,54,62,18,89,68,17,16
36,49,47,56,65,31,82,144,3,188,34
37,59,45,62,54,83,27,87,19,17,18
38,27,10,87,7,6,39,37,59,45,16
39,77,52,38,27,78,10,87,59,64,16
40,70,41,48,181,12,91,58,96,99,109
41,70,109,40,69,181,76,96,187,12,167
42,22,13,24,21,80,11,73,4,32,23
43,111,53,33,32,23,77,119,21,161,100
44,35,89,68,62,54,63,59,64,19,37
45,67,83,37,7,6,27,38,87,54,62
46,29,25,72,1,57,116,30,9,117,8
47,49,56,65,36,31,82,3,144,188,67
48,26,99,40,91,88,58,28,60,50,181
49,47,56,65,36,31,82,144,3,188,67
50,15,28,26,110,139,48,99,149,114,79
51,55,92,74,73,103,106,66,107,148,81
52,78,77,64,39,59,87,170,126,27,35
53,111,43,161,33,100,85,119,191,77,32
54,62,68,37,59,83,89,35,44,87,45
55,51,66,73,92,74,103,106,75,22,14
56,49,47,65,36,82,31,144,188,3,83
57,72,116,30,46,117,29,25,8,84,0
58,60,91,96,99,88,181,248,193,90,167
59,87,37,62,89,54,27,35,68,38,19
60,58,91,96,88,99,181,248,90,193,167
61,120,151,132,155,241,208,142,172,191,329
62,54,68,37,59,89,83,35,87,44,45
63,71,95,136,147,44,108,130,89,115,133
64,78,52,170,126,77,215,89,59,35,44
65,56,49,47,36,82,144,31,188,93,83
66,55,73,75,92,51,14,20,24,22,74
67,45,83,7,37,6,38,27,87,10,54
68,62,54,89,115,44,93,59,35,108,37
69,76,109,187,168,152,167,41,193,188,181
70,41,109,40,181,187,69,31,96,76,193
71,63,136,95,147,185,234,108,130,133,294
72,46,116,29,117,57,25,30,1,9,74
73,55,66,51,92,80,42,22,24,74,106
74,92,103,107,51,148,106,55,66,73,75
75,20,14,66,9,24,55,73,92,22,51
76,69,168,152,187,109,167,193,102,188,219
77,52,78,39,64,43,53,126,87,111,170
78,52,64,77,170,39,59,126,87,89,215
79,149,97,101,139,110,114,177,179,198,28
80,86,122,42,73,119,127,85,157,100,22
81,127,106,103,86,157,80,51,178,122,107
82,65,144,56,93,49,47,143,36,188,128
83,45,67,37,62,54,87,59,68,27,38
84,8,57,30,0,116,72,46,212,25,117
85,100,122,157,86,119,127,80,118,33,111
86,80,122,85,127,157,100,119,42,81,73
87,59,27,38,37,62,83,39,54,45,78
88,99,91,114,58,60,110,101,96,90,48
89,68,62,59,44,54,35,170,64,87,115
90,160,221,159,60,58,248,96,189,91,102
91,58,99,60,88,96,181,248,193,48,40
92,74,55,51,103,66,107,106,73,148,75
93,115,150,254,82,108,133,68,128,143,54
94,182,164,650,124,271,276,129,486,202,270
95,71,200,130,185,147,294,197,63,136,234
96,181,248,193,58,167,60,91,152,109,221
97,79,198,149,139,177,101,110,179,114,166
98,229,269,253,247,325,151,213,162,233,239
99,91,88,58,48,60,26,96,114,181,40
100,85,122,157,86,119,127,118,80,33,111
101,149,114,177,79,179,110,97,88,139,319
102,131,159,152,196,167,219,168,193,76,221
103,106,107,148,74,92,51,55,178,81,73
104,123,121,141,156,113,112,153,240,242,146
105,180,302,351,137,464,183,778,759,382,213
106,103,107,148,74,51,92,81,55,178,73
107,148,103,74,106,92,178,51,55,81,73
108,115,133,150,254,93,318,136,320,147,68
109,187,69,76,41,70,168,152,181,167,193
110,149,114,139,79,28,101,88,26,50,99
111,43,53,33,119,100,32,161,85,23,122
